symbol,Name of Securities,Category,Sub-Category,Board Lot,Expiry Date,ETF / Fund Manager,Debt Securities Investor Type,Div Stock,Blue Chip,HSI
0001.HK,CKH HOLDINGS,Equity,Equity Securities (Main Board),500,,,,Y,,Y
0002.HK,CLP HOLDINGS,Equity,Equity Securities (Main Board),500,,,,Y,,Y
0003.HK,HK & CHINA GAS,Equity,Equity Securities (Main Board),"1,000",,,,Y,,Y
0004.HK,WHARF HOLDINGS,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0005.HK,HSBC HOLDINGS,Equity,Equity Securities (Main Board),400,,,,Y,,Y
0006.HK,POWER ASSETS,Equity,Equity Securities (Main Board),500,,,,Y,,Y
0007.HK,WISDOM WEALTH,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0008.HK,PCCW,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0009.HK,KEYNE LTD,Equity,Equity Securities (Main Board),"6,000",,,,N,,N
0010.HK,HANG LUNG GROUP,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0011.HK,HANG SENG BANK,Equity,Equity Securities (Main Board),100,,,,Y,,Y
0012.HK,HENDERSON LAND,Equity,Equity Securities (Main Board),"1,000",,,,Y,,Y
0013.HK,HUTCHMED,Equity,Equity Securities (Main Board),500,,,,N,,N
0014.HK,HYSAN DEV,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0016.HK,SHK PPT,Equity,Equity Securities (Main Board),500,,,,Y,,Y
0017.HK,NEW WORLD DEV,Equity,Equity Securities (Main Board),"1,000",,,,Y,,Y
0018.HK,ORIENTAL E H,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0019.HK,SWIRE PACIFIC A,Equity,Equity Securities (Main Board),500,,,,Y,,N
0020.HK,SENSETIME-W,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
0021.HK,GREAT CHI HLDGS,Equity,Equity Securities (Main Board),"5,000",,,,N,,N
0022.HK,MEXAN,Equity,Equity Securities (Main Board),"40,000",,,,N,,N
0023.HK,BANK OF E ASIA,Equity,Equity Securities (Main Board),200,,,,Y,,N
0025.HK,CHEVALIER INT'L,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0026.HK,CHINA MOTOR BUS,Equity,Equity Securities (Main Board),200,,,,Y,,N
0027.HK,GALAXY ENT,Equity,Equity Securities (Main Board),"1,000",,,,N,,Y
0028.HK,TIAN AN,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0029.HK,DYNAMIC HOLD,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0030.HK,BAN LOONG HOLD,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0031.HK,CHINA AEROSPACE,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
